,city,central_sp_mean,central_sp_std
0,Prague,10123.71331551034,4303.527020785555
1,Paris,4573.668987895157,1720.667974121653
2,London,15698.890195127755,6766.228005859794
3,Berlin,11775.597930330652,5183.212392678038
4,Madrid,8015.7482200325685,3768.963318334827
5,Brussels,2514.5450872386446,1334.29342668294
6,Stockholm,,
7,Helsinki,8465.718242114146,3227.0261227330952
8,Oslo,9008.896515898923,4171.3628911430305
9,Warsaw,9906.179538424229,3856.8171178552825
10,Vienna,7866.43295755158,3583.687272402575
11,Amsterdam,5793.515586905074,2517.665109224476
12,"Antwerp, Netherlands",,
13,"Athens, Greece",,
14,Barcelona,4524.742768343332,2214.245127938464
15,Belgrade,24815.01691820347,9523.022784320823
16,Bilbao,3005.3232114537445,1433.6031059934237
17,Birmingham,8551.341756334672,3676.020883025892
18,Bremen,10809.834681751496,4420.043999900382
19,Bristol,5240.442966265061,2232.0451969859496
20,Copenhagen,536.5836153846154,381.6684747854908
21,Dublin,5028.965448750453,2225.615872144915
22,Glasgow,2695.532154140127,1342.0460285506867
23,Hamburg,10590.240275167156,5402.285873848783
24,Liverpool,5539.28815972789,2084.4791313556198
25,Lisbon,5144.702678478102,2104.385097358541
26,Manchester,6181.809573057782,2992.5091501019983
27,Milan,5579.40971645722,2390.7203903649515
28,Munich,7500.448147681741,3010.014872397663
29,Naples,5870.563227439185,2672.375893399018
30,Rome,,
31,Rotterdam,,
